airline,incidents_85_99,fatal_accidents_85_99,fatalities_85_99
Aer Lingus,2,0,0
Aeroflot*,76,14,128
Aerolineas Argentinas,6,0,0
Aeromexico*,3,1,64
Air Canada,2,0,0
Air France,14,4,79
Air India*,2,1,329
Air New Zealand*,3,0,0
Alaska Airlines*,5,0,0
Alitalia,7,2,50
All Nippon Airways,3,1,1
American*,21,5,101
Austrian Airlines,1,0,0
Avianca,5,3,323
British Airways*,4,0,0
Cathay Pacific*,0,0,0
China Airlines,12,6,535
Condor,2,1,16
COPA,3,1,47
Delta / Northwest*,24,12,407
Egyptair,8,3,282
El Al,1,1,4
Ethiopian Airlines,25,5,167
Finnair,1,0,0
Garuda Indonesia,10,3,260
Gulf Air,1,0,0
Hawaiian Airlines,0,0,0
Iberia,4,1,148
Japan Airlines,3,1,520
Kenya Airways,2,0,0
KLM*,7,1,3
Korean Air,12,5,425
LAN Airlines,3,2,21
Lufthansa*,6,1,2
Malaysia Airlines,3,1,34
Pakistan International,8,3,234
Philippine Airlines,7,4,74
Qantas*,1,0,0
Royal Air Maroc,5,3,51
SAS*,5,0,0
Saudi Arabian,7,2,313
Singapore Airlines,2,2,6
South African,2,1,159
Southwest Airlines,1,0,0
Sri Lankan / AirLanka,2,1,14
SWISS*,2,1,229
TACA,3,1,3
TAM,8,3,98
TAP - Air Portugal,0,0,0
Thai Airways,8,4,308
Turkish Airlines,8,3,64
United / Continental*,19,8,319
US Airways / America West*,16,7,224
Vietnam Airlines,7,3,171
Virgin Atlantic,1,0,0
Xiamen Airlines,9,1,82
